customer_id,timestamp,age,gender,employment_status,annual_income,credit_score,loan_amount,loan_tenure_months,interest_rate,monthly_installment,payment_status,days_late,outstanding_balance,default_flag,fraud_flag
99,29,39,1,2,722944,479,782208,12,11.28,58362.4525,0,17.5,578251,0,0
100,437,36,1,0,1023871,478,680482,36,15.11,21758.41,1,0,575639,0,1
101,692,64,1,2,1105998,565,686100,36,15.51,22014.28,1,0,552900,0,1
102,385,60,0,0,787027,580,930864,12,15.41,58362.4525,1,0,485937,0,1
103,245,53,0,2,958392,833,141123,48,21.9,3583.94,1,0,135582,0,1
104,601,23,0,1,472163,526,261587,60,7.81,4700.28,1,0,152033,0,0
105,699,22,0,0,1405919,679,914751,36,12.71,28639.33,0,9,211433,0,0
106,285,55,0,1,1634689,766,989912,36,19.57,32878.83,0,5,722352,0,0
107,528,47,1,0,1389220,552,891119,48,10.73,20557,1,0,839990,0,0
108,698,30,0,0,1790693,508,189405,24,19.23,9409.48,1,0,179406,0,1
109,706,53,1,0,419677,401,302005,48,10.52,6953.67,1,0,123495,0,1
110,20,38,1,1,481263,409,627457,36,11.54,19440.71,1,0,274831,0,1
111,543,40,0,1,736826,495,329220,36,8.91,9959.82,1,0,230686,0,1
112,308,55,1,1,1332147,492,320318,60,21.72,6498.18,0,17.5,161803,0,1
113,182,33,1,0,463804,610,520397,48,16.02,12578.43,1,0,145351,0,0
114,621,43,0,2,322464,568,790898,48,18.27,19487.4,0,17.5,478494,0,1
115,43,58,1,1,1061727,396,422122,60,13.34,7973.88,1,0,117235,0,0
116,660,21,1,0,1144758,677,707787,60,7.9,12728.37,1,0,634612,0,1
117,398,37,1,0,876034,821,610596,60,11.18,11314.34,1,0,56338,0,0
118,228,38,1,0,1566908,335,788468,60,8.8,14297.55,1,0,371874,0,1
119,309,25,1,2,1196098,370,93855,48,10.92,2168.83,0,17.5,91027,0,1
120,344,40,1,2,1429371,406,77382,24,12.07,3613.42,1,0,62650,0,0
121,265,60,0,0,796486,321,250961,24,8.79,11375.85,1,0,137637,0,1
122,327,55,1,2,1460909,370,342579,48,21.53,8673.67,1,0,246049,0,1
123,326,43,0,1,1620458,850,976524,60,12.79,18357.02,0,6,552328,0,1
124,554,58,0,2,1143739,478,860428,48,21.92,21854.87,1,0,481645,0,1
125,244,36,0,0,1113405,629,215162,36,12.14,6702.3,0,17.5,17586,0,0
126,36,54,0,1,1937188,796,264989,36,8.64,7996.78,1,0,102748,0,1
127,525,54,1,0,718425,305,787128,48,13.07,18541.78,0,17.5,714302,0,0
128,565,41,1,0,1929120,463,552840,12,14.01,52524.41,1,0,294160,0,1
129,652,27,0,0,1678994,695,910268,36,15.23,29136.16,1,0,669952,0,0
130,130,25,0,1,653530,369,371576,36,12.43,11604.52,1,0,192007,0,1
131,507,33,1,1,1745814,326,972344,24,16.21,47081.71,1,0,653324,0,1
132,21,36,0,0,1011233,621,938858,24,21.75,47627.48,0,17.5,154108,0,0
133,298,40,0,0,502850,468,387806,48,19.69,9670.1,1,0,12220,0,0
134,395,55,1,0,1469616,677,333840,24,18.35,16462.49,0,10,53101,0,0
135,573,30,0,1,638378,584,599571,24,18.93,29711.24,1,0,309950,0,1
136,680,36,0,0,1433060,841,849381,60,9.84,15549.33,1,0,70130,0,1
137,21,62,0,2,1764248,560,383428,48,17.01,9346.86,1,0,20527,0,0
138,175,27,0,1,498623,733,312854,36,14.85,9980.91,1,0,210012,0,0
139,133,33,0,1,1888042,401,369346,36,15.18,11817.02,1,0,31293,0,1
140,609,36,0,1,1181941,539,999725,60,15.96,19321.35,1,0,787683,0,0
141,355,28,1,1,1852717,326,150540,60,9.62,2750.37,0,9,145228,0,1
142,142,29,1,1,416367,490,459630,48,20.35,11524.26,1,0,389747,0,1
143,56,52,1,1,1184854,639,673295,48,8.09,15161.76,1,0,345006,0,0
144,723,51,1,2,1590826,616,611273,24,17.55,29939.64,0,10,407465,0,1
145,182,23,0,2,969395,819,314988,36,18.63,10379.73,1,0,244071,0,0
146,700,31,0,1,291759,635,836961,60,21.64,16967.99,0,17.5,386927,0,1
147,79,36,1,2,1730867,481,718134,36,14.69,22878.55,0,17.5,523706,0,1
148,274,54,1,1,294811,740,304209,60,13.23,5740.93,0,1,142182,0,1
149,17,27,0,0,1859477,635,220074,36,21.85,7448.89,1,0,16122,0,0
150,321,48,0,0,1260234,663,284922,12,8.81,25835.3,1,0,150147,0,1
151,350,41,1,2,918463,693,787298,48,7.72,17668.28,1,0,103644,0,0
152,498,28,0,1,1242268,407,302015,12,21.15,30490.93,0,17.5,146675,0,0
153,266,23,0,1,1379761,452,490984,24,15.44,23616.33,1,0,241872,0,0
154,314,57,0,1,1634361,601,313218,36,18.69,10326.62,0,7,2034,0,1
155,490,45,0,1,1889356,563,95375,48,7.88,2143.55,1,0,87035,0,0
156,569,65,0,1,319196,736,687948,48,16,16625.41,0,17.5,669910,0,0
157,573,22,1,1,709350,803,718114,48,12.51,16832.29,1,0,161900,0,1
158,71,49,1,1,454759,554,350867,48,13.68,8309.7,1,0,4431,0,0
159,651,56,0,0,299768,823,635982,48,15.16,15258.27,0,17,462922,0,1
160,409,56,0,1,780493,495,222049,24,21.46,11237.53,1,0,121534,0,1
161,502,54,0,0,752465,631,107777,24,15.71,5196.2,1,0,43572,0,0
162,672,43,0,2,1942050,412,946733,48,11.03,21899.12,1,0,447072,0,1
163,266,53,1,1,1520952,318,707076,60,21.58,14327.72,0,8,173225,0,1
164,501,49,0,1,1578661,742,971534,60,19.74,19388.58,1,0,338293,0,0
165,456,51,1,0,1679405,508,870996,24,19.37,43321.16,1,0,357258,0,1
166,109,25,0,1,1645074,774,923630,12,12.57,58362.4525,1,0,244334,0,1
167,384,35,0,1,1007803,675,85830,36,13.41,2703.88,0,5,70132,0,0
168,568,60,1,0,1701273,834,483957,12,10.4,44524.04,1,0,432150,0,1
169,67,56,0,1,578555,402,342453,36,18.85,11305.71,0,17.5,20350,0,1
170,515,65,1,2,608650,609,650102,24,18.61,32128.58,0,17.5,171983,0,1
171,200,42,0,1,1197371,734,614666,36,11.83,19093.92,0,4,79355,0,1
172,16,37,1,1,1051718,534,523173,24,12.52,24528.09,1,0,33586,0,1
173,694,59,1,2,520983,350,75470,36,9.38,2293.03,1,0,37464,0,0
174,674,23,1,0,796071,528,239721,48,17.26,5856.18,0,7,56498,0,0
175,628,60,0,2,818004,783,336154,36,10.54,10321.8,0,17.5,216519,0,1
176,227,56,0,1,1987553,789,171754,12,20.29,17216.91,0,17.5,1794,0,1
177,228,49,0,1,1872412,642,380732,24,18.49,18797.06,1,0,372288,0,1
178,408,57,0,1,1083147,698,353510,48,10.23,8118.21,0,8,256910,0,1
179,164,55,0,1,1165253,369,436249,24,12.72,20489.16,0,17.5,376956,0,1
180,182,43,1,1,1460867,332,650300,24,21.98,33051.5,1,0,48901,0,0
181,258,37,1,1,213682,448,453729,60,18.63,8970.98,1,0,55847,0,1
182,545,24,1,0,1224025,376,901350,12,20.47,58362.4525,1,0,516869,0,1
183,42,40,0,2,1149020,331,870093,60,13.46,16453.46,1,0,806974,0,0
184,352,45,0,0,1679060,772,147032,60,9.69,2687.99,1,0,77819,0,1
185,143,51,1,0,1826950,846,548828,12,20.28,55010.86,1,0,512265,0,0
186,640,28,1,1,1273886,385,241074,60,16.32,4673.62,1,0,128062,0,0
187,231,49,0,2,637250,676,126897,24,18.76,6279.29,1,0,61687,0,1
188,628,53,0,2,1150774,634,715040,48,7.69,16042.22,0,3,412554,0,1
189,141,46,1,0,1153859,621,400659,24,14.3,19081.38,0,17.5,150507,0,1
190,516,22,0,1,1037641,615,829877,24,16.48,40276.7,1,0,21512,0,1
191,182,35,1,2,1291838,643,982641,60,11.25,18219.8,0,17.5,666594,0,1
192,610,43,0,1,1551031,396,151165,48,20.81,3804.63,1,0,55767,0,0
193,641,37,1,2,1532846,819,831674,60,9.73,15209.93,1,0,86029,0,1
194,190,29,0,1,1418437,729,708592,24,20.61,35609.7,1,0,14730,0,1
195,103,46,1,0,1831919,671,477880,60,19.75,9537.69,1,0,474382,0,1
196,124,24,1,0,717261,683,546184,48,12.97,12854.67,0,7,101432,0,1
197,397,61,1,1,392748,844,490699,24,14.43,23396.12,1,0,164637,0,1
198,149,50,1,0,379372,617,260496,24,21.92,13233.2,1,0,149599,0,0
199,397,42,0,0,751514,646,70858,48,12.64,1662.8,1,0,47587,0,1
200,274,33,0,2,1589201,428,901691,24,18.12,44378.23,1,0,748509,0,1
201,533,42,0,0,1940225,501,615778,24,13.26,29059.59,1,0,204898,0,0
202,259,29,0,0,1345954,449,172449,24,8.55,7799.72,0,9,162096,0,0
203,16,55,1,2,1778644,833,417920,24,11.37,19393.23,1,0,382208,0,1
204,713,50,1,1,1572836,523,924914,60,10.02,16959.84,0,1,565708,0,0
205,391,38,1,1,831874,544,385868,12,21.04,38921.22,0,2,235445,0,1
206,66,45,0,2,1336756,562,889416,24,7.62,39882.9,1,0,635240,0,1
207,568,44,0,1,1107170,755,990025,48,18.76,24494.87,1,0,573726,0,1
208,326,37,0,0,991264,826,448252,48,16.25,10856.1,1,0,99739,0,1
209,475,53,0,1,606777,748,598411,24,19.14,29706.12,1,0,332958,0,1
210,207,47,0,2,1697790,560,473016,24,19.81,23613.35,1,0,51917,0,1
211,289,51,0,0,1615487,405,193264,36,18.95,6385.76,1,0,55595,0,0
212,48,32,0,0,811866,610,397623,48,16.83,9677.98,1,0,268259,0,0
213,500,25,1,1,500169,451,329956,24,14.47,15737.53,1,0,176714,0,0
214,622,46,1,2,755268,609,911754,12,8.24,58362.4525,0,6,841318,0,1
215,363,41,0,2,1581899,739,445234,36,12.55,13919.75,1,0,326088,0,1
216,56,64,0,2,1381112,504,423852,12,19.5,42208.6,1,0,314266,0,1
217,640,61,0,2,549807,451,216251,24,21.6,10956.72,1,0,120930,0,0
218,410,47,0,0,815409,732,577703,36,21.47,19492.66,1,0,102849,0,1
219,597,22,1,0,715167,430,175810,24,18.97,8715.05,0,17.5,101892,0,1
220,656,22,1,2,1802184,825,225847,36,14.65,7192.6,1,0,216510,0,0
221,280,56,0,2,1625656,683,227954,60,7.93,4100.51,1,0,203893,0,0
222,596,44,1,1,554268,807,905718,60,15.45,17427.52,0,17.5,861464.5,0,0
223,68,59,0,0,396423,801,876681,60,12.74,16472.84,1,0,367238,0,0
224,9,39,1,1,464956,748,716488,48,11.56,16652.38,1,0,291306,0,1
225,307,24,0,2,1155933,639,412604,36,16.04,13299.6,0,13,290435,0,1
226,150,29,0,0,1697863,540,488915,36,15.92,15743.06,1,0,32807,0,0
227,253,31,0,0,574217,311,275903,48,20.65,6934.94,0,13,269368,0,1
228,132,56,1,2,660114,634,874709,12,12.23,58362.4525,1,0,474537,0,1
229,599,54,1,2,1507171,368,640928,24,19.32,31864.8,1,0,168405,0,1
230,175,49,1,0,1367919,766,143634,24,9.21,6535.95,1,0,62226,0,0
231,37,45,1,2,1929633,824,186567,12,8.33,16842.34,1,0,120535,0,1
232,432,32,0,2,1289375,818,212538,24,10.99,9829,0,17.5,9992,0,1
233,357,38,0,0,735641,694,388370,60,9.18,7067.04,0,4,295095,0,1
234,623,25,0,1,217872,623,409016,60,17.94,8039.89,1,0,306549,0,0
235,256,35,1,0,1844811,624,425181,60,9.56,7763.81,0,17.5,175381,0,1
236,568,61,0,0,1651830,845,810086,48,15.56,19502.82,1,0,140116,0,0
237,245,54,0,0,1611871,406,284360,12,7.51,25476.29,0,17,215,0,1
238,616,60,0,1,919483,341,646254,48,13.87,15331.03,0,4,470034,0,0
239,656,63,1,1,1113550,613,413237,48,20.34,10360.2,0,9,8241,0,1
240,484,50,1,1,1615827,776,253928,48,20.32,6365.13,1,0,203524,0,0
241,39,54,0,1,474251,552,459571,24,15.95,22203.02,1,0,18373,0,0
242,271,56,0,0,1958989,337,117142,12,21.53,11863.56,1,0,99508,0,1
243,372,45,1,0,496464,432,842683,36,19.46,27963.03,1,0,258478,0,0
244,526,53,0,0,289298,841,311907,12,16.33,30236.78,0,7,256980,0,0
245,711,41,1,1,401607,528,316608,12,19.83,31615.95,0,17.5,51065,0,1
246,727,24,1,1,1282435,385,66523,36,15.89,2141.49,1,0,30180,0,0
247,671,29,0,0,1519355,482,377338,24,10.94,17442.45,1,0,75873,0,1
248,373,25,1,1,1741409,497,486279,36,18.64,16025.59,0,17.5,428956,0,1
249,697,62,1,0,1065857,498,214679,60,14.78,4106.81,1,0,211595,0,1
250,494,32,1,2,1150833,580,851669,48,16.2,20617.49,1,0,277119,0,1
251,532,21,1,1,1571471,703,552369,12,15.78,53294.4,1,0,300891,0,1
252,18,64,0,0,391081,530,655267,48,19.46,16307.96,0,17.5,48331,0,1
253,368,26,1,1,1757809,767,757357,36,11.64,23486.48,1,0,665573,0,0
254,31,56,0,1,767582,524,379916,24,21.54,19239.58,1,0,115582,0,0
255,69,38,0,1,326071,394,629551,12,8.3,56816.98,0,16,539689,0,1
256,369,50,0,0,373740,757,84638,36,18.91,2795.64,1,0,37001,0,0
257,171,55,0,2,507829,586,209864,36,17.13,6828.16,1,0,136895,0,0
258,410,59,1,2,297143,400,532587,24,17.84,26150.02,1,0,307476,0,0
259,242,27,1,0,981206,463,764114,60,18.97,15151.11,0,17.5,730873,0,1
260,63,26,1,1,789211,462,946339,36,16.18,30540.46,0,8,280006,0,0
261,713,42,1,1,838951,512,366906,12,20.02,36696.72,0,17.5,116460,0,0
262,216,34,0,0,967372,447,384496,24,14.38,18324.44,0,9,81820,0,0
263,721,25,1,0,538651,715,692563,24,9.75,31670.33,1,0,379435,0,0
264,247,48,1,1,433299,804,300545,12,10.1,27575,1,0,276690,0,1
265,524,53,1,2,1268875,372,345590,36,10.5,10607.69,0,2,79096,0,1
266,399,59,1,1,609435,753,366684,36,20.37,12260.49,1,0,188207,0,0
267,576,54,0,1,1059461,449,770763,48,18.76,19069.96,1,0,258118,0,1
268,177,27,0,0,1647481,585,876918,60,19.78,17506.21,1,0,363179,0,1
269,286,23,1,1,1309911,615,51775,60,15.01,992.44,0,17.5,5014,0,1
270,530,23,0,2,1910687,771,951785,36,10.91,29322.91,1,0,841985,0,1
271,260,25,1,0,1621703,790,576799,36,20.67,19333.98,1,0,85089,0,0
272,540,51,0,2,1150960,546,64596,60,9.37,1177.48,1,0,38246,0,1
273,301,26,0,0,1870838,306,51667,24,11.95,2410.05,1,0,10116,0,1
274,80,65,1,2,592471,441,787681,36,15.04,25170.78,1,0,563791,0,1
275,491,36,0,1,1742710,405,751733,36,20.31,25122.5,1,0,735217,0,0
276,93,25,1,0,875082,449,568397,12,9.35,51795.18,0,8,319819,0,1
277,396,23,1,2,1926317,849,76891,24,8.46,3474.83,1,0,12080,0,0
278,460,65,0,0,1747765,574,777286,60,21.67,15762.06,0,17.5,173984,0,0
279,610,24,0,2,1408043,829,522471,12,13.7,49504.13,1,0,46471,0,0
280,570,65,1,1,1515406,577,259145,24,9.25,11796.5,1,0,54125,0,1
281,284,56,0,1,228918,696,543331,48,18.2,13379.53,1,0,354839,0,0
282,366,54,1,0,454502,589,115945,36,9.72,3533.75,1,0,44066,0,0
283,16,65,0,2,1477297,682,550341,36,15.77,17698.05,1,0,422701,0,1
284,607,46,1,0,762186,330,231375,60,19.06,4591.25,0,8,150354,0,1
285,63,46,1,0,695090,476,347014,12,10.46,31942.64,1,0,13336,0,1
286,404,47,0,1,249749,506,488954,36,15.15,15639.74,1,0,265271,0,1
287,334,42,0,0,632755,708,649078,24,14.23,30893.41,0,2,299541,0,1
288,163,30,1,0,253375,829,203614,48,13.05,4795.53,1,0,138918,0,1
289,489,53,0,1,1509263,414,177841,12,14.65,16991.23,1,0,171549,0,1
290,378,64,1,1,928465,553,472875,12,8.85,42893.7,1,0,157740,0,1
291,483,28,0,0,1460750,489,639265,12,16.88,58362.4525,1,0,144808,0,0
292,574,54,0,2,1908059,650,828162,36,21.32,27909.06,1,0,406326,0,1
293,316,49,0,0,1668303,407,178871,48,18,4397.25,1,0,40060,0,0
294,413,43,0,1,807656,360,942421,12,20.88,58362.4525,1,0,861464.5,0,1
295,464,42,0,1,950575,442,933194,12,17.84,58362.4525,0,5,577532,0,0
296,252,54,1,2,1125522,443,547365,36,10.78,16843.64,0,17.5,513471,0,1
297,295,28,1,2,640513,320,484178,12,12.4,45351.34,0,4,79804,0,0
298,137,52,1,1,1456172,343,483165,36,11.35,14944.56,1,0,378200,0,1
299,353,37,0,1,1987626,383,220869,60,14.11,4200.56,1,0,175128,0,1
300,496,62,0,2,1644180,344,902587,24,9.96,41353.53,1,0,69873,0,0
301,412,55,1,2,716433,829,864498,60,17.39,16913.9,0,15,417687,0,1
302,716,26,0,0,922806,354,965036,12,19.28,58362.4525,1,0,49455,0,0
303,320,60,1,2,1299931,369,235088,12,20.66,23638.1,0,17.5,163656,0,0
304,369,32,1,2,250209,681,412764,60,9.53,7535.01,1,0,111010,0,1
305,309,47,0,0,1740369,360,907288,12,11.82,58362.4525,0,17.5,635491,0,0
306,670,43,1,0,1281069,504,296276,36,20.49,9916.19,1,0,163778,0,1
307,235,43,1,2,473408,833,667905,12,18.19,58362.4525,1,0,596352,0,0
308,486,53,1,1,741637,809,915945,24,21.88,46514.74,1,0,542955,0,1
309,211,50,0,2,1762081,449,981912,12,21.64,58362.4525,1,0,861464.5,0,0
310,458,46,0,0,920750,704,368818,24,14.37,17575.71,1,0,196843,0,1
311,338,22,1,1,319140,424,159709,12,7.88,14357.84,1,0,146584,0,1
312,36,29,1,2,1210444,332,187945,60,14.74,3594.13,0,17.5,52937,0,1
313,215,39,0,2,1468622,325,357700,12,18.84,35424.22,0,10,211563,0,1
314,310,51,1,2,284578,755,760229,12,17.33,58362.4525,1,0,312908,0,1
315,363,51,0,1,561303,838,927019,60,11.55,17234.83,0,8,465187,0,0
316,604,36,0,0,426956,488,545528,60,20.79,10982.39,1,0,238755,0,1
317,427,23,1,2,723705,820,622462,24,16.69,30264.62,1,0,25750,0,1
318,75,42,0,2,935935,825,226545,48,17.55,5547.99,1,0,48360,0,0
319,533,42,0,1,1282501,457,608044,48,12.4,14238.36,0,17.5,411050,0,0
320,238,49,1,0,578085,741,987841,12,18.81,58362.4525,1,0,373951,0,0
321,576,52,0,2,224401,580,172674,36,8.76,5216.67,0,17.5,26817,0,1
322,63,30,1,1,1745739,654,88210,48,10.85,2037.1,1,0,1940,0,0
323,46,21,1,1,297835,835,835051,36,11.58,25881.94,1,0,330327,0,1
324,540,24,0,0,1276067,833,469922,24,21.91,23870.08,0,17.5,317386,0,0
325,121,38,0,1,362898,501,710349,36,11.14,21930.05,1,0,376317,0,1
326,402,47,0,1,1537696,368,406950,48,21.97,10340.77,0,8,264956,0,0
327,194,43,1,2,504532,656,541116,60,15.62,10427.31,1,0,409250,0,1
328,503,29,1,2,1959981,629,744861,12,17.56,58362.4525,1,0,639838,0,0
329,68,54,1,1,440509,620,654375,12,16.04,58362.4525,1,0,326106,0,1
330,449,44,1,2,234051,317,832349,24,21.98,42304.14,1,0,682453,0,0
331,589,39,0,0,309287,774,961495,24,12.36,45013.99,1,0,687376,0,1
332,88,23,1,0,576364,591,684509,24,21.67,34701.75,0,4,647844,0,0
333,166,35,1,0,486070,609,745506,48,11.93,17384.27,0,17.5,653771,0,0
334,173,60,1,1,1549004,607,393305,12,13.43,37177.16,1,0,348557,0,1
335,250,58,0,1,1579526,570,218363,48,12.92,5136.99,1,0,188449,0,0
336,453,31,0,1,1405828,303,886492,24,12.03,41380.71,0,2,503134,0,1
